customer_id,age,gender,region,education_level,employment_type,annual_income,loan_amount,loan_purpose,credit_score,repayment_history,transaction_count,spending_ratio,join_date,default_flag
CUST00001,54,Male,South,Graduate,Salaried,886382.09,338184.2,Business,775.9,12,248,28.74,2023-09-09,0
CUST00002,32,Male,East,Graduate,Self-Employed,2538050.29,274380.78,Business,484.9,7,439,62.15,2020-11-11,1
CUST00003,25,Female,East,Graduate,Self-Employed,2550668.63,1631792.71,Education,316.0,5,63,6.8,2019-02-21,1
CUST00004,45,Male,South,Graduate,Self-Employed,1286415.4,213936.12,Car,799.2,17,393,5.06,2023-08-08,0
CUST00005,51,Male,South,Graduate,Self-Employed,997939.39,78230.4,Car,513.5,5,370,34.34,2018-09-13,1
CUST00006,21,Female,West,Secondary,Unemployed,2513005.12,1073122.35,Home,537.4,18,188,72.42,2022-08-09,1
CUST00007,37,Female,South,Secondary,Salaried,2930101.45,391214.45,Other,442.9,7,195,117.03,2019-05-12,1
CUST00008,39,Female,South,Graduate,Unemployed,900977.53,312730.11,Education,513.5,7,435,69.99,2024-04-13,1
CUST00009,30,Female,East,Post-Graduate,Salaried,2073146.83,573137.86,Car,728.3,11,452,99.04,2022-01-18,0
CUST00010,66,Other,West,Graduate,Unemployed,2383435.02,960430.11,Business,321.7,1,312,32.36,2023-01-29,1
CUST00011,44,Female,East,Primary,Salaried,2749714.68,1595181.26,Home,455.9,1,431,91.28,2021-05-31,1
CUST00012,63,Female,West,Secondary,Self-Employed,2058155.99,441582.78,Education,732.4,4,9,99.81,2023-12-28,1
CUST00013,36,Male,North,Secondary,Unemployed,1312014.05,1196736.64,Business,464.0,21,462,42.0,2024-10-06,1
CUST00014,55,Other,East,Secondary,Salaried,565304.96,1610364.56,Business,589.6,22,92,57.61,2019-03-16,0
CUST00015,58,Other,West,Post-Graduate,Unemployed,1707857.99,426694.75,Home,842.6,17,420,43.74,2021-12-01,0
CUST00016,30,Other,East,Post-Graduate,Self-Employed,945266.5,1323141.84,Education,338.4,14,475,69.15,2021-07-14,1
CUST00017,22,Male,East,Graduate,Salaried,1246960.27,1742447.24,Car,474.0,1,444,62.12,2024-12-11,1
CUST00018,23,Other,West,Graduate,Salaried,717738.18,675129.19,Other,684.5,14,385,26.97,2025-05-04,0
CUST00019,53,Other,West,Post-Graduate,Unemployed,2872566.58,335543.56,Car,556.1,1,407,70.6,2022-09-24,1
CUST00020,30,Female,West,Primary,Salaried,1988568.62,1581493.16,Home,312.5,4,435,10.62,2026-03-15,1
CUST00021,18,Male,North,Secondary,Self-Employed,2436448.58,1004552.06,Home,740.2,8,211,47.43,2021-12-07,0
CUST00022,70,Other,North,Graduate,Salaried,298183.67,1270376.97,Education,307.8,1,74,109.0,2023-10-08,1
CUST00023,29,Male,West,Secondary,Unemployed,1660931.72,66565.03,Car,631.0,11,276,64.83,2024-07-19,0
CUST00024,61,Female,West,Graduate,Salaried,754127.69,848867.89,Car,323.2,17,315,40.13,2021-05-12,1
CUST00025,56,Other,South,Secondary,Self-Employed,1634885.67,1465572.23,Car,739.7,9,332,74.03,2020-10-24,0
CUST00026,57,Female,North,Secondary,Unemployed,2327032.77,1597848.48,Car,418.7,12,20,74.66,2022-12-30,1
CUST00027,50,Female,South,Primary,Salaried,869502.07,1521736.08,Business,439.7,0,285,30.25,2022-06-23,1
CUST00028,30,Female,North,Post-Graduate,Salaried,1016325.01,1745925.36,Car,732.1,21,181,96.23,2018-09-11,0
CUST00029,42,Other,West,Post-Graduate,Unemployed,640788.08,1803157.11,Other,709.6,18,18,76.53,2020-08-30,0
CUST00030,18,Other,North,Post-Graduate,Unemployed,329580.26,1631826.65,Education,628.2,11,293,114.28,2026-03-07,0
CUST00031,60,Female,East,Post-Graduate,Self-Employed,862435.55,625497.25,Other,314.6,7,177,99.29,2022-05-25,1
CUST00032,63,Male,North,Post-Graduate,Self-Employed,1497316.54,428551.98,Car,424.2,1,483,96.28,2020-06-01,1
CUST00033,65,Female,West,Secondary,Salaried,1082249.57,910235.46,Other,835.3,17,259,40.78,2026-01-18,0
CUST00034,48,Female,East,Graduate,Self-Employed,1625316.16,1807946.05,Car,790.6,16,254,29.17,2023-04-23,0
CUST00035,33,Other,East,Primary,Unemployed,1374710.81,338274.06,Car,524.7,4,353,97.09,2025-07-16,1
CUST00036,24,Other,West,Post-Graduate,Unemployed,2476515.97,1317694.85,Education,407.4,19,461,99.98,2021-05-19,1
CUST00037,39,Female,North,Secondary,Unemployed,2354806.17,506321.99,Other,800.9,11,477,64.0,2023-06-15,0
