customer_id,age,gender,region,education_level,employment_type,annual_income,loan_amount,loan_purpose,credit_score,repayment_history,transaction_count,spending_ratio,join_date,default_flag,debt_to_income_ratio,avg_monthly_transactions,spending_to_income_ratio
CUST00001,54,Male,South,Graduate,Salaried,886382.09,338184.2,Business,775.9,12,248,28.74,2023-09-09,0,0.38153320539227054,41.333333333333336,28.74
CUST00002,32,Male,East,Graduate,Self-Employed,2538050.29,274380.78,Business,484.9,7,439,62.15,2020-11-11,1,0.10810691225507593,73.16666666666667,62.15
CUST00003,25,Female,East,Graduate,Self-Employed,2550668.63,1631792.71,Education,316.0,5,63,6.8,2019-02-21,1,0.6397509620840085,10.5,6.8
CUST00004,45,Male,South,Graduate,Self-Employed,1286415.4,213936.12,Car,799.2,17,393,5.06,2023-08-08,0,0.16630407254142016,65.5,5.06
CUST00005,51,Male,South,Graduate,Self-Employed,997939.39,78230.4,Car,513.5,5,370,34.34,2018-09-13,1,0.07839193520560402,61.666666666666664,34.34
CUST00006,21,Female,West,Secondary,Unemployed,2513005.12,1073122.35,Home,537.4,18,188,72.42,2022-08-09,1,0.4270275223315104,31.333333333333332,72.42
CUST00007,37,Female,South,Secondary,Salaried,2930101.45,391214.45,Other,442.9,7,195,117.03,2019-05-12,1,0.1335156671793736,32.5,117.03
CUST00008,39,Female,South,Graduate,Unemployed,900977.53,312730.11,Education,513.5,7,435,69.99,2024-04-13,1,0.34710089828766316,72.5,69.99
CUST00009,30,Female,East,Post-Graduate,Salaried,2073146.83,573137.86,Car,728.3,11,452,99.04,2022-01-18,0,0.2764579197702075,75.33333333333333,99.04
CUST00010,66,Other,West,Graduate,Unemployed,2383435.02,960430.11,Business,321.7,1,312,32.36,2023-01-29,1,0.40296047592688305,52.0,32.36
CUST00011,44,Female,East,Primary,Salaried,2749714.68,1595181.26,Home,455.9,1,431,91.28,2021-05-31,1,0.580126102392558,71.83333333333333,91.28
CUST00012,63,Female,West,Secondary,Self-Employed,2058155.99,441582.78,Education,732.4,4,9,99.81,2023-12-28,1,0.21455262970616723,1.5,99.81
CUST00013,36,Male,North,Secondary,Unemployed,1312014.05,1196736.64,Business,464.0,21,462,42.0,2024-10-06,1,0.9121370613371098,77.0,42.0
CUST00014,55,Other,East,Secondary,Salaried,565304.96,1610364.56,Business,589.6,22,92,57.61,2019-03-16,0,2.8486651877245164,15.333333333333334,57.61
CUST00015,58,Other,West,Post-Graduate,Unemployed,1707857.99,426694.75,Home,842.6,17,420,43.74,2021-12-01,0,0.24984205507625373,70.0,43.74
CUST00016,30,Other,East,Post-Graduate,Self-Employed,945266.5,1323141.84,Education,338.4,14,475,69.15,2021-07-14,1,1.3997553494173338,79.16666666666667,69.15
CUST00017,22,Male,East,Graduate,Salaried,1246960.27,1742447.24,Car,474.0,1,444,62.12,2024-12-11,1,1.3973558596217344,74.0,62.12
CUST00018,23,Other,West,Graduate,Salaried,717738.18,675129.19,Other,684.5,14,385,26.97,2025-05-04,0,0.9406343549955778,64.16666666666667,26.97
CUST00019,53,Other,West,Post-Graduate,Unemployed,2872566.58,335543.56,Car,556.1,1,407,70.6,2022-09-24,1,0.11680967199722835,67.83333333333333,70.6
CUST00020,30,Female,West,Primary,Salaried,1988568.62,1581493.16,Home,312.5,4,435,10.62,2026-03-15,1,0.7952922238107125,72.5,10.62
CUST00021,18,Male,North,Secondary,Self-Employed,2436448.58,1004552.06,Home,740.2,8,211,47.43,2021-12-07,0,0.4123017691594378,35.166666666666664,47.43
CUST00022,70,Other,North,Graduate,Salaried,298183.67,1270376.97,Education,307.8,1,74,109.0,2023-10-08,1,4.260384111577942,12.333333333333334,109.0
CUST00023,29,Male,West,Secondary,Unemployed,1660931.72,66565.03,Car,631.0,11,276,64.83,2024-07-19,0,0.04007692140408999,46.0,64.83
CUST00024,61,Female,West,Graduate,Salaried,754127.69,848867.89,Car,323.2,17,315,40.13,2021-05-12,1,1.1256288573623388,52.5,40.13
CUST00025,56,Other,South,Secondary,Self-Employed,1634885.67,1465572.23,Car,739.7,9,332,74.03,2020-10-24,0,0.8964371374054554,55.333333333333336,74.03
CUST00026,57,Female,North,Secondary,Unemployed,2327032.77,1597848.48,Car,418.7,12,20,74.66,2022-12-30,1,0.6866463165449965,3.3333333333333335,74.66
CUST00027,50,Female,South,Primary,Salaried,869502.07,1521736.08,Business,439.7,0,285,30.25,2022-06-23,1,1.7501235850996884,47.5,30.25
CUST00028,30,Female,North,Post-Graduate,Salaried,1016325.01,1745925.36,Car,732.1,21,181,96.23,2018-09-11,0,1.717880936532301,30.166666666666668,96.23
CUST00029,42,Other,West,Post-Graduate,Unemployed,640788.08,1803157.11,Other,709.6,18,18,76.53,2020-08-30,0,2.8139679346095203,3.0,76.53
CUST00030,18,Other,North,Post-Graduate,Unemployed,329580.26,1631826.65,Education,628.2,11,293,114.28,2026-03-07,0,4.951226902970463,48.833333333333336,114.28
CUST00031,60,Female,East,Post-Graduate,Self-Employed,862435.55,625497.25,Other,314.6,7,177,99.29,2022-05-25,1,0.7252683983168365,29.5,99.29
CUST00032,63,Male,North,Post-Graduate,Self-Employed,1497316.54,428551.98,Car,424.2,1,483,96.28,2020-06-01,1,0.28621334804730064,80.5,96.28
CUST00033,65,Female,West,Secondary,Salaried,1082249.57,910235.46,Other,835.3,17,259,40.78,2026-01-18,0,0.8410587402681988,43.166666666666664,40.78
CUST00034,48,Female,East,Graduate,Self-Employed,1625316.16,1807946.05,Car,790.6,16,254,29.17,2023-04-23,0,1.1123657627325874,42.333333333333336,29.17
CUST00035,33,Other,East,Primary,Unemployed,1374710.81,338274.06,Car,524.7,4,353,97.09,2025-07-16,1,0.24606925146678665,58.833333333333336,97.09
CUST00036,24,Other,West,Post-Graduate,Unemployed,2476515.97,1317694.85,Education,407.4,19,461,99.98,2021-05-19,1,0.5320760560247871,76.83333333333333,99.98
CUST00037,39,Female,North,Secondary,Unemployed,2354806.17,506321.99,Other,800.9,11,477,64.0,2023-06-15,0,0.21501641895222315,79.5,64.0
CUST00038,34,Female,South,Primary,Salaried,2439786.05,1981027.48,Home,611.7,13,471,113.58,2021-04-27,0,0.8119677051190616,78.5,113.58
CUST00039,27,Male,South,Secondary,Salaried,2305163.88,473902.69,Education,513.8,11,237,70.25,2022-02-26,1,0.2055830798459327,39.5,70.25
CUST00040,26,Female,East,Post-Graduate,Unemployed,380270.61,1415705.19,Car,306.9,19,32,76.67,2019-11-24,1,3.722888787014069,5.333333333333333,76.67
CUST00041,63,Female,North,Secondary,Self-Employed,1400791.44,1709089.87,Home,759.0,0,78,111.39,2021-10-03,1,1.2200887449740556,13.0,111.39
CUST00042,45,Other,East,Secondary,Self-Employed,617823.44,1006874.36,Education,811.0,24,351,56.44,2021-06-28,0,1.6297121391185807,58.5,56.44
CUST00043,67,Other,North,Secondary,Unemployed,230005.57,1184331.14,Car,461.9,16,392,114.5,2025-10-12,1,5.1491411273213945,65.33333333333333,114.5
CUST00044,21,Male,West,Secondary,Self-Employed,2451484.72,242856.03,Business,834.0,16,189,16.53,2019-11-06,0,0.09906487608048399,31.5,16.53
CUST00045,62,Female,South,Primary,Unemployed,2111944.46,1940628.34,Car,598.9,22,407,79.96,2025-11-15,0,0.9188822796978289,67.83333333333333,79.96
CUST00046,47,Other,South,Secondary,Self-Employed,417020.71,1045391.44,Other,602.2,23,96,63.6,2023-08-20,0,2.5068094100170706,16.0,63.6
CUST00047,67,Other,East,Graduate,Salaried,1593251.06,1341640.25,Business,684.7,24,451,65.95,2020-03-03,0,0.8420771111867328,75.16666666666667,65.95
CUST00048,51,Other,South,Primary,Self-Employed,2941721.39,1025340.86,Other,764.7,21,419,30.87,2025-04-07,0,0.348551315391564,69.83333333333333,30.87
CUST00049,55,Male,East,Post-Graduate,Self-Employed,299725.05,1348527.92,Business,318.6,13,16,35.22,2022-04-04,1,4.499216598679356,2.6666666666666665,35.22
CUST00050,58,Other,East,Post-Graduate,Salaried,2727406.71,1887380.47,Home,410.5,22,257,109.01,2018-01-12,1,0.6920055095120009,42.833333333333336,109.01
CUST00051,40,Female,North,Primary,Unemployed,2631442.96,1942458.86,Home,813.5,12,229,40.04,2019-12-10,0,0.7381725120121928,38.166666666666664,40.04
CUST00052,30,Other,South,Primary,Unemployed,1628912.83,655178.44,Business,776.9,21,250,113.06,2019-01-20,0,0.4022182328811296,41.666666666666664,113.06
CUST00053,64,Other,North,Secondary,Salaried,2313674.93,1109971.14,Home,527.6,11,491,91.14,2020-10-12,1,0.47974377282118874,81.83333333333333,91.14
CUST00054,41,Other,East,Post-Graduate,Salaried,540374.38,618139.02,Business,701.9,13,277,35.57,2020-01-16,0,1.143908821139892,46.166666666666664,35.57
CUST00055,37,Female,North,Secondary,Unemployed,474906.46,841723.97,Home,310.7,7,19,104.1,2023-08-20,1,1.7723994952606035,3.1666666666666665,104.1
CUST00056,42,Other,East,Primary,Salaried,226896.79,826343.12,Business,819.1,9,195,115.12,2026-01-01,0,3.6419339383338123,32.5,115.12
CUST00057,24,Female,East,Graduate,Salaried,868575.74,20315.21,Car,334.0,3,409,23.97,2022-12-22,1,0.023389105940260314,68.16666666666667,23.97
CUST00058,34,Female,South,Post-Graduate,Unemployed,890576.4,1360335.49,Other,772.8,21,59,60.22,2021-12-21,0,1.5274775864260495,9.833333333333334,60.22
