order_id,order_datetime,delivery_city,delivery_zone,distance_km,agent_rating,weather_condition,traffic_index,vehicle_type,package_weight_kg,delivery_time_min,is_delayed,agent_id
AMZ-20250425-00000,2025-04-25 19:13:00,Lucknow,D,8.31,3.11,Clear,9.44,Cycle,13.82,23.74,1,AGENT_05773
AMZ-20250110-00001,2025-01-10 02:58:00,Surat,C,11.62,4.63,Storm,7.22,Scooter,2.66,160.3,0,AGENT_04867
AMZ-20250107-00002,2025-01-07 04:36:00,Chandigarh,C,1.71,3.77,Clear,7.3,Bike,1.38,14.25,0,AGENT_00817
AMZ-20250116-00003,2025-01-16 04:05:00,Hyderabad,D,5.73,3.77,Clear,8.91,Van,3.09,132.63,1,AGENT_05587
AMZ-20250312-00004,2025-03-12 19:51:00,Delhi,B,5.07,3.17,Fog,1.5,Van,3.73,83.14,1,AGENT_05724
AMZ-20250116-00005,2025-01-16 03:19:00,Kolkata,A,21.28,3.17,Fog,8.44,Van,0.85,12.0,0,AGENT_00087
AMZ-20250129-00006,2025-01-29 17:54:00,Nagpur,A,1.82,4.02,Rain,7.75,Van,2.36,22.22,1,AGENT_03606
AMZ-20250426-00007,2025-04-26 08:44:00,Chandigarh,A,4.12,3.48,Clear,1.59,Scooter,1.04,19.88,0,AGENT_03799
AMZ-20250419-00008,2025-04-19 07:25:00,Delhi,C,3.86,3.76,Clear,2.29,Bike,0.8,94.89,0,AGENT_00080
AMZ-20250313-00009,2025-03-13 11:36:00,Lucknow,B,12.96,4.24,,3.44,Bike,9.5,91.37,0,AGENT_02273
AMZ-20250305-00010,2025-03-05 09:21:00,Chennai,A,24.62,3.79,Fog,0.0,Van,3.78,11.52,0,AGENT_01814
AMZ-20250430-00011,2025-04-30 01:06:00,Chandigarh,B,0.64,4.63,Rain,6.78,Van,5.34,35.88,0,AGENT_00375
AMZ-20250307-00012,2025-03-07 18:44:00,Surat,A,0.52,3.31,Cloudy,,Bike,3.27,10.65,1,AGENT_04680
AMZ-20250320-00013,2025-03-20 00:01:00,Delhi,A,8.94,3.96,Clear,6.21,Scooter,0.47,29.53,1,AGENT_04104
AMZ-20250218-00014,2025-02-18 14:47:00,Chennai,B,4.6,4.3,Cloudy,6.31,Van,1.24,17.09,0,AGENT_00169
AMZ-20250101-00015,2025-01-01 12:08:00,Surat,D,1.04,4.49,Fog,8.4,Scooter,3.89,18.68,0,AGENT_05185
AMZ-20250305-00016,2025-03-05 08:10:00,Mumbai,A,1.1,3.93,Rain,8.59,Scooter,4.27,112.09,1,AGENT_00867
AMZ-20250325-00017,2025-03-25 15:03:00,Jaipur,B,4.88,3.55,Cloudy,6.31,Scooter,1.18,11.58,0,AGENT_01814
AMZ-20250226-00018,2025-02-26 00:25:00,Chandigarh,A,13.35,4.61,,,Cycle,0.18,15.64,0,AGENT_02918
AMZ-20250214-00019,2025-02-14 11:17:00,Mumbai,D,15.43,3.31,Clear,0.08,Cycle,1.98,30.5,1,AGENT_01802
AMZ-20250125-00020,2025-01-25 18:32:00,Mumbai,C,7.84,3.75,Storm,0.72,Cycle,12.13,21.95,1,AGENT_04634
AMZ-20250203-00021,2025-02-03 20:56:00,Bangalore,B,1.33,4.18,Rain,2.86,Scooter,4.02,27.1,0,AGENT_03434
AMZ-20250503-00022,2025-05-03 03:48:00,Kolkata,A,5.18,4.54,Cloudy,0.36,Van,0.23,21.67,1,AGENT_03796
AMZ-20250105-00023,2025-01-05 11:45:00,Chennai,A,1.02,3.43,Rain,7.49,Bike,0.56,75.24,0,AGENT_01549
AMZ-20250320-00024,2025-03-20 13:01:00,Kolkata,A,0.58,5.09,Clear,3.35,Bike,0.98,149.64,1,AGENT_05922
AMZ-20250101-00025,2025-01-01 18:40:00,Indore,A,0.9,3.82,Rain,9.47,Van,3.26,67.97,0,AGENT_05983
AMZ-20250418-00026,2025-04-18 03:22:00,Chandigarh,D,1.82,4.49,Clear,0.19,Bike,1.98,16.05,0,AGENT_02783
AMZ-20250213-00027,2025-02-13 00:33:00,Patna,B,0.06,3.71,Rain,3.4,Cycle,4.6,124.31,0,AGENT_04171
AMZ-20250220-00028,2025-02-20 06:20:00,Chandigarh,C,5.66,3.46,Rain,1.6,Cycle,1.68,18.73,0,AGENT_00010
AMZ-20250110-00029,2025-01-10 19:49:00,Kolkata,B,2.79,3.5,Rain,1.29,Scooter,0.64,28.56,0,AGENT_02065
AMZ-20250117-00030,2025-01-17 03:27:00,Jaipur,C,3.06,3.88,Rain,8.78,Bike,6.23,25.83,0,AGENT_03453
AMZ-20250307-00031,2025-03-07 12:26:00,Pune,A,2.85,4.42,Rain,,Scooter,0.42,27.56,0,AGENT_02270
AMZ-20250511-00032,2025-05-11 01:14:00,Chennai,B,4.97,3.92,Fog,4.76,Scooter,9.52,31.73,0,AGENT_01997
AMZ-20250309-00033,2025-03-09 21:21:00,Pune,A,4.05,4.53,Storm,0.23,Bike,9.23,35.84,1,AGENT_02077
AMZ-20250314-00034,2025-03-14 01:35:00,Pune,A,0.78,3.65,Cloudy,1.17,Cycle,0.65,83.84,1,AGENT_03766
AMZ-20250306-00035,2025-03-06 18:46:00,Surat,A,19.08,3.38,Clear,6.89,Bike,0.78,49.96,1,AGENT_05593
AMZ-20250505-00036,2025-05-05 20:15:00,Bangalore,D,3.0,3.74,Rain,0.89,Scooter,2.8,59.84,0,AGENT_00239
AMZ-20250217-00037,2025-02-17 23:59:00,Ahmedabad,C,5.27,4.31,Cloudy,0.68,Scooter,4.8,26.79,0,AGENT_03439
AMZ-20250330-00038,2025-03-30 15:04:00,Mumbai,A,2.02,3.6,Storm,8.29,Cycle,0.11,16.58,1,AGENT_00333
AMZ-20250311-00039,2025-03-11 18:04:00,Ahmedabad,D,20.07,4.27,Storm,1.28,Bike,0.12,20.4,1,AGENT_04762
AMZ-20250222-00040,2025-02-22 05:39:00,Jaipur,C,4.35,4.28,Rain,1.64,Scooter,2.39,25.05,0,AGENT_04650
AMZ-20250317-00041,2025-03-17 21:10:00,Indore,A,3.97,3.81,Rain,4.42,Scooter,0.08,27.81,1,AGENT_01104
AMZ-20250320-00042,2025-03-20 23:28:00,Hyderabad,A,10.55,3.58,Storm,1.8,Van,5.85,38.85,1,AGENT_02184
AMZ-20250503-00043,2025-05-03 14:35:00,Chennai,A,4.52,4.08,Clear,9.91,Cycle,8.52,18.45,0,AGENT_05102
AMZ-20250316-00044,2025-03-16 04:40:00,Chennai,B,0.37,4.38,Cloudy,1.63,Cycle,3.13,122.99,1,AGENT_01808
