ride_id,pickup_datetime,pickup_city,pickup_zone,distance_km,fare_amount,traffic_level,driver_rating,ride_category,payment_mode,ride_duration_min,is_surge,ride_driver_id
OLA-R0000001,2025-01-24 14:59:00,Indore,Outskirts,14.72,363.19,Severe,4.05,Sedan,Card,66.84,0,DRV_06491
OLA-R0000002,2025-05-18 07:32:00,Kolkata,City,0.37,9.13,High,3.94,Sedan,Card,1.91,1,DRV_02980
OLA-R0000003,2025-02-27 18:25:00,Coimbatore,City,13.35,408.93,Low,3.5,Prime,Cash,117.52,0,DRV_00209
OLA-R0000004,2025-01-25 18:44:00,Chennai,Suburb,13.48,357.35,Medium,4.6,Mini,UPI,57.66,1,DRV_05265
OLA-R0000005,2025-01-22 01:38:00,Mumbai,Suburb,11.56,292.2,Severe,4.94,Mini,Ola Money,104.32,1,DRV_02326
OLA-R0000006,2025-02-25 04:58:00,Surat,Outskirts,1.26,33.74,Medium,4.2,Bike,Card,6.0,0,DRV_05894
OLA-R0000007,2025-02-23 06:41:00,Indore,City,6.3,134.96,Low,3.65,Mini,Ola Money,27.36,0,DRV_06038
OLA-R0000008,2025-01-25 08:15:00,Chennai,Metro Core,10.81,194.01,Low,3.68,Auto,UPI,29.08,0,DRV_03403
OLA-R0000009,2025-02-17 18:24:00,Indore,Metro Core,1.03,31.42,Low,4.69,Mini,UPI,4.28,1,DRV_02868
OLA-R0000010,2025-03-29 09:29:00,Kochi,Suburb,13.14,504.39,Low,4.27,Auto,Ola Money,56.9,0,DRV_04186
OLA-R0000011,2025-05-02 22:19:00,Ahmedabad,Metro Core,26.08,1013.15,Severe,4.21,Bike,Card,155.17,0,DRV_01439
OLA-R0000012,2025-01-12 12:39:00,Pune,City,25.11,690.49,Medium,4.16,Auto,UPI,102.86,1,DRV_06071
OLA-R0000013,2025-03-16 23:47:00,Chandigarh,Metro Core,9.49,420.46,Medium,3.89,Sedan,Cash,95.04,0,DRV_05755
OLA-R0000014,2025-02-14 12:19:00,Chandigarh,Suburb,48.72,1804.55,Severe,4.24,Prime,UPI,433.26,0,DRV_01324
OLA-R0000015,2025-03-13 13:24:00,Jaipur,Suburb,6.3,164.85,Low,4.4,Prime,Card,40.96,1,DRV_00023
OLA-R0000016,2025-02-04 00:07:00,Chandigarh,City,1.98,46.96,Severe,3.4,Mini,Card,11.05,1,DRV_05800
OLA-R0000017,2025-03-01 12:08:00,Coimbatore,City,1.04,,Low,4.38,Sedan,Card,5.87,1,DRV_05974
OLA-R0000018,2025-05-13 04:25:00,Delhi,Suburb,0.97,28.03,Severe,3.47,Auto,Card,7.17,0,DRV_02862
OLA-R0000019,2025-05-05 10:40:00,Indore,Suburb,14.05,372.54,Low,4.23,Micro,UPI,74.28,0,DRV_00143
