date,product,city,amount
2025-09-05,Tablet,Delhi,33146.39
2024-11-09,Headphones,Delhi,47365.07
2025-03-17,Laptop,Mumbai,8711.15
2025-05-19,Tablet,Bangalore,32890.69
2026-02-26,Tablet,Surat,9527.81
2024-04-28,Headphones,Surat,16057.91
2024-09-02,Laptop,Bangalore,19803.1
2024-11-15,Laptop,Mumbai,41851.85
2024-07-11,Tablet,Surat,3158.65
2024-09-29,Phone,Ahmedabad,36815.8
2025-03-18,Tablet,Surat,45673.31
2024-09-22,Tablet,Mumbai,4422.47
2025-07-09,Tablet,Delhi,39641.14
2024-09-05,Tablet,Delhi,5828.29
2025-03-19,Headphones,Delhi,48161.26
2025-10-14,Laptop,Mumbai,40860.55
2025-03-26,Headphones,Delhi,34901.72
2025-03-16,Headphones,Delhi,27727.94
2025-04-15,Headphones,Mumbai,46080.47
2025-06-10,Tablet,Ahmedabad,6394.03
2025-05-12,Phone,Surat,6528.32
2025-02-17,Laptop,Mumbai,41213.23
2025-10-28,Phone,Mumbai,24374.83
2025-12-12,Headphones,Bangalore,42330.29
2026-01-14,Headphones,Delhi,19837.76
2024-05-23,Phone,Ahmedabad,22867.08
2025-09-22,Phone,Bangalore,16937.89
2024-08-11,Phone,Ahmedabad,47561.54
2025-11-03,Headphones,Delhi,23515.03
2024-06-20,Headphones,Delhi,37877.31
2024-08-14,Laptop,Delhi,34947.49
2024-04-18,Laptop,Surat,12136.8
2024-05-24,Headphones,Ahmedabad,45742.13
2024-10-15,Phone,Ahmedabad,27461.76
2024-08-31,Phone,Bangalore,42862.4
2024-06-10,Laptop,Mumbai,41693.3
2025-06-14,Headphones,Delhi,3404.16
2024-07-11,Laptop,Delhi,31178.75
2024-11-23,Laptop,Bangalore,39554.73
2024-07-26,Tablet,Ahmedabad,45371.66
2024-04-19,Tablet,Surat,25561.64
2024-12-20,Tablet,Ahmedabad,37660.28
2024-05-14,Phone,Surat,48496.71
2025-02-12,Headphones,Surat,41478.2
2024-11-02,Headphones,Ahmedabad,42793.95
2026-01-02,Headphones,Delhi,20660.5
2024-06-28,Headphones,Surat,5038.59
2024-12-20,Tablet,Bangalore,48318.41
2024-11-06,Phone,Bangalore,34943.02
2025-01-10,Phone,Surat,8972.62
2025-07-04,Tablet,Delhi,48704.69
2025-09-01,Phone,Surat,35931.41
2025-08-30,Tablet,Bangalore,4973.23
2024-08-09,Headphones,Bangalore,8955.27
2024-07-06,Tablet,Ahmedabad,43337.81
