product,category,price,rating,stock,discount
Tablet,Home,119645.19,5.0,100,0.45
Laptop,Sports,118942.04,1.9,340,0.37
Laptop,Home,68966.8,4.4,376,0.04
Headphones,Electronics,12572.49,3.2,211,0.27
Camera,Home,82169.43,2.3,352,0.22
Smartwatch,Sports,145904.44,2.9,190,0.46
Tablet,Home,19065.87,4.6,97,
Tablet,Electronics,94029.69,2.6,7,0.18
Laptop,Accessories,21617.09,2.0,151,0.28
Headphones,Electronics,126781.39,2.1,495,0.32
Phone,Electronics,137926.41,3.7,125,0.25
Tablet,Sports,91179.23,1.6,257,0.31
Smartwatch,Sports,23309.51,2.2,343,0.5
Headphones,Home,22697.19,2.7,110,0.27
Phone,Electronics,143231.65,4.0,36,0.02
Smartwatch,Sports,105051.3,2.0,255,0.04
Tablet,Accessories,95412.26,1.5,167,0.05
Smartwatch,Accessories,91846.8,4.4,12,0.26
Headphones,Sports,108556.35,4.2,17,0.35
Smartwatch,Electronics,64670.27,1.6,192,0.22
Tablet,Accessories,70501.34,1.9,20,0.16
Tablet,Electronics,146139.11,1.9,275,0.12
Smartwatch,Accessories,149571.26,1.3,314,0.46
Tablet,Accessories,58887.89,2.9,41,0.09
Headphones,Home,137564.42,2.1,241,0.19
Camera,Accessories,3958.47,2.3,384,0.26
Tablet,Electronics,80018.63,3.3,403,
Camera,Electronics,77763.4,3.8,264,0.14
Phone,Sports,68408.18,3.5,291,0.35
Laptop,Home,27008.02,4.2,193,0.26
Tablet,Accessories,106938.62,4.7,404,0.22
Tablet,Accessories,2993.84,4.2,130,0.23
Tablet,Sports,16006.57,3.2,311,0.16
Tablet,Accessories,12647.15,1.6,315,
Laptop,Electronics,11074.75,1.9,389,0.36
Headphones,Sports,62484.9,3.0,194,0.38
Laptop,Home,129839.7,2.1,264,0.19
Smartwatch,Accessories,14332.81,4.8,239,0.4
Headphones,Sports,98390.77,,222,0.05
Laptop,Sports,10031.42,3.9,358,0.0
Phone,Electronics,19117.62,3.7,269,0.46
Camera,Electronics,72402.47,3.1,129,0.06
Laptop,Electronics,40986.95,2.4,6,0.07
Camera,Home,35623.07,1.4,446,0.36
Phone,Electronics,93800.18,1.8,89,0.11
Phone,Sports,141994.32,1.9,447,0.46
Headphones,Sports,16745.85,1.8,210,0.26
Phone,Electronics,119508.17,2.6,386,0.29
Laptop,Home,95143.78,1.8,411,0.26
Tablet,Sports,38003.14,2.6,82,0.13
Phone,Home,128162.2,3.6,304,0.09
Phone,Home,49509.23,3.7,331,0.42
Smartwatch,Accessories,45879.17,2.9,269,0.31
Headphones,Accessories,22942.53,3.4,125,0.38
Laptop,Electronics,148142.82,4.3,63,0.12
Camera,Accessories,42620.95,3.9,216,0.06
Laptop,Accessories,79234.26,5.0,92,0.39
Phone,Accessories,27933.48,1.9,341,0.27
Camera,Home,84214.83,3.1,202,0.36
Headphones,Accessories,147707.18,1.6,393,0.28
Camera,Electronics,37765.39,4.2,403,0.44
Laptop,Electronics,19704.6,2.6,199,0.45
Laptop,Accessories,88280.27,2.0,182,0.21
Smartwatch,Accessories,16324.07,3.6,12,0.3
Phone,Electronics,42129.14,1.4,217,0.49
Tablet,Home,22092.49,1.5,409,0.15
Smartwatch,Sports,106739.08,5.0,107,0.14
Laptop,Electronics,73011.86,1.3,180,
Laptop,Home,137523.33,1.9,401,0.17
Headphones,Sports,72597.92,3.0,418,0.26
Laptop,Home,138146.54,2.2,358,0.49
Phone,Home,820.49,1.1,156,0.09
Phone,Home,40847.69,2.7,404,0.37
Camera,Sports,49319.75,2.0,465,0.37
Tablet,Home,35603.41,3.6,165,0.09
Smartwatch,Home,124995.36,3.7,468,0.26
Camera,Accessories,73692.79,2.5,67,0.12
Tablet,Accessories,16137.72,3.7,121,0.12
