match_id,team1,team2,winner,venue,runs,wickets,overs
1,CSK,RCB,SRH,Kotla,95,5,19.2
2,CSK,RCB,RR,Eden Gardens,89,4,18.0
3,KKR,DC,MI,Eden Gardens,235,1,15.3
4,KKR,KKR,RCB,Kotla,162,4,11.1
5,RR,RR,CSK,Kotla,212,8,16.9
6,SRH,DC,RR,Chepauk,198,8,16.7
7,CSK,CSK,SRH,Eden Gardens,173,7,17.7
8,SRH,SRH,MI,Wankhede,227,0,10.1
9,KKR,RR,DC,Chinnaswamy,228,1,17.6
10,CSK,PBKS,SRH,Chinnaswamy,121,8,12.8
11,RCB,RR,SRH,Kotla,102,4,15.2
12,PBKS,MI,PBKS,Chinnaswamy,186,6,13.2
13,DC,RR,PBKS,Narendra Modi Stadium,139,7,17.4
14,KKR,MI,PBKS,Eden Gardens,223,5,16.3
15,PBKS,SRH,RR,Wankhede,109,2,16.8
16,RR,CSK,KKR,Kotla,104,3,18.3
17,KKR,CSK,KKR,Wankhede,198,1,11.1
18,RR,RCB,MI,Kotla,215,0,10.0
19,PBKS,RCB,DC,Eden Gardens,135,8,18.3
20,RR,MI,DC,Wankhede,96,3,12.2
21,RR,CSK,CSK,Chepauk,194,8,13.9
22,MI,RCB,DC,Narendra Modi Stadium,204,4,17.0
23,RR,SRH,PBKS,Chepauk,212,3,17.1
24,PBKS,RR,DC,Wankhede,116,4,13.6
25,RR,SRH,RR,Eden Gardens,220,5,14.8
26,MI,MI,PBKS,Narendra Modi Stadium,141,4,15.0
27,CSK,MI,RCB,Chinnaswamy,162,1,16.8
28,DC,RCB,PBKS,Wankhede,234,0,12.9
29,MI,KKR,PBKS,Chepauk,172,7,17.3
30,KKR,DC,RR,Chinnaswamy,178,5,15.5
31,RCB,SRH,KKR,Wankhede,184,8,16.3
32,RCB,RCB,DC,Wankhede,161,7,10.3
33,KKR,RCB,PBKS,Chinnaswamy,158,1,17.9
34,DC,RR,DC,Wankhede,104,0,15.7
35,KKR,RR,SRH,Chepauk,100,9,16.8
36,PBKS,MI,SRH,Eden Gardens,172,5,13.5
37,PBKS,DC,SRH,Chinnaswamy,90,6,15.8
38,MI,PBKS,MI,Narendra Modi Stadium,94,7,16.7
39,MI,RR,RR,Eden Gardens,101,1,15.0
40,DC,KKR,KKR,Kotla,160,9,17.3
41,DC,MI,RR,Kotla,232,2,13.4
42,PBKS,RCB,KKR,Eden Gardens,153,9,13.9
43,PBKS,CSK,CSK,Kotla,101,1,11.8
44,CSK,RR,CSK,Wankhede,169,2,19.2
45,CSK,MI,DC,Kotla,183,2,13.5
46,RCB,KKR,PBKS,Kotla,223,0,16.2
47,DC,PBKS,SRH,Narendra Modi Stadium,168,4,18.6
48,SRH,RR,MI,Chinnaswamy,215,8,11.9
49,MI,CSK,RCB,Chinnaswamy,186,5,13.5
50,SRH,MI,RR,Eden Gardens,205,2,10.2
51,RCB,DC,RCB,Narendra Modi Stadium,199,0,10.5
52,SRH,DC,KKR,Chinnaswamy,103,4,11.8
53,SRH,CSK,KKR,Chepauk,189,3,16.7
54,RCB,SRH,PBKS,Kotla,126,1,14.7
55,SRH,PBKS,KKR,Eden Gardens,223,7,10.7
56,RCB,KKR,SRH,Chepauk,207,0,12.4
57,SRH,PBKS,PBKS,Narendra Modi Stadium,149,2,18.3
58,CSK,MI,PBKS,Eden Gardens,114,9,18.2
59,PBKS,PBKS,MI,Narendra Modi Stadium,144,8,13.2
60,CSK,RCB,SRH,Chinnaswamy,133,8,11.5
61,CSK,KKR,CSK,Kotla,123,9,11.9
62,KKR,MI,RCB,Kotla,170,7,17.4
63,SRH,PBKS,RCB,Chinnaswamy,234,4,10.2
64,SRH,CSK,PBKS,Narendra Modi Stadium,228,7,16.7
65,DC,PBKS,MI,Chepauk,130,4,16.5
66,DC,RCB,CSK,Kotla,214,3,16.8
67,SRH,MI,MI,Eden Gardens,87,0,17.4
68,DC,KKR,PBKS,Wankhede,115,0,14.7
69,DC,RR,PBKS,Narendra Modi Stadium,81,4,12.9
70,PBKS,RR,PBKS,Narendra Modi Stadium,99,9,19.4
71,RCB,MI,CSK,Kotla,142,9,18.2
72,SRH,KKR,RCB,Wankhede,190,5,19.7
73,PBKS,MI,MI,Narendra Modi Stadium,160,9,14.0
74,SRH,DC,DC,Chinnaswamy,128,1,10.9
75,RCB,RCB,CSK,Chepauk,136,1,13.9
76,SRH,PBKS,SRH,Eden Gardens,127,4,12.8
77,RCB,KKR,CSK,Chinnaswamy,187,2,19.7
78,DC,SRH,PBKS,Chepauk,102,9,13.8
79,CSK,DC,CSK,Chepauk,218,2,17.1
80,CSK,SRH,MI,Eden Gardens,127,2,15.5
81,KKR,RR,MI,Chinnaswamy,212,0,19.3
82,RCB,KKR,CSK,Wankhede,208,4,18.1
