runs,strike_rate,boundaries,innings,team,area_sqft,price_lakhs,bedrooms,floor
3480,115.66,341,103,KKR,1293.45,282.78,1,31
2859,157.01,284,180,SRH,475.61,168.61,4,21
503,140.86,21,93,PBKS,1158.53,321.23,4,38
0,129.06,10,15,DC,1521.35,325.3,1,31
1185,125.51,137,107,SRH,865.3,226.57,1,11
531,197.88,60,72,PBKS,588.43,155.35,2,23
934,138.82,101,189,CSK,1536.97,422.93,4,7
2281,158.35,240,21,SRH,1388.41,382.97,3,22
5535,125.5,583,103,SRH,841.97,225.97,2,20
2067,126.75,204,122,SRH,1152.73,301.37,3,54
1350,145.48,105,75,PBKS,1211.86,248.1,3,24
2680,145.62,241,88,LSG,645.08,242.75,5,35
2486,102.32,261,117,RR,1049.07,273.78,1,19
3975,150.92,378,100,CSK,755.83,254.31,3,25
209,101.23,21,104,SRH,854.23,244.29,4,23
1038,111.37,85,152,GT,506.27,179.84,3,45
3619,121.9,374,131,DC,582.4,148.48,1,45
4176,144.08,422,150,RR,348.99,154.57,1,40
3202,123.05,309,53,KKR,602.87,174.84,5,9
2381,117.2,258,2,RR,933.78,243.01,4,23
5123,124.27,551,88,RCB,1244.3,323.39,1,17
3889,110.93,413,158,DC,918.6,272.25,2,56
3258,160.12,315,38,LSG,1195.26,262.65,1,36
4092,122.8,394,130,PBKS,1307.14,283.11,3,10
1954,120.37,200,192,RR,1214.32,328.94,4,51
3190,125.54,305,188,CSK,546.95,139.93,2,53
1168,153.46,110,21,RCB,1509.42,372.25,5,40
3964,148.95,380,161,MI,1566.33,384.44,4,13
2788,130.32,264,58,LSG,1018.69,263.91,1,58
2504,135.75,222,22,DC,1013.23,248.18,1,37
4275,141.93,438,89,CSK,1217.48,374.95,4,54
2370,112.32,262,49,GT,1117.32,213.08,2,7
2966,167.54,312,59,MI,680.0,175.59,1,20
2065,114.5,209,170,CSK,960.38,258.79,3,56
2190,123.37,226,188,RCB,941.2,192.24,1,29
1474,104.31,152,15,SRH,1372.42,352.1,3,16
3746,164.28,402,190,GT,1250.09,296.38,4,4
3528,84.15,363,190,RR,1202.72,235.81,1,29
3491,149.1,349,175,RCB,1193.09,281.71,3,5
545,152.78,69,190,CSK,1249.94,305.74,3,53
2151,113.32,222,51,SRH,747.91,208.36,3,26
