ticket_id,city,match,ticket_price,quantity
1,Pune,CSK vs MI,1134.32,4
2,Chennai,SRH vs KKR,1392.0,3
3,Delhi,KKR vs RCB,3469.12,4
4,Surat,CSK vs CSK,4607.05,6
5,Ahmedabad,DC vs MI,2859.59,1
6,Chennai,MI vs CSK,4660.78,4
7,Chennai,KKR vs KKR,4445.1,3
8,Surat,MI vs KKR,1966.97,3
9,Chennai,DC vs KKR,4670.74,7
10,Bangalore,PBKS vs SRH,2038.28,1
11,Kolkata,MI vs RCB,2010.34,7
12,Mumbai,DC vs RR,2177.15,3
13,Pune,SRH vs RCB,4216.45,2
14,Kolkata,KKR vs RR,782.17,7
15,Surat,CSK vs CSK,1276.78,7
16,Mumbai,DC vs CSK,3917.56,5
17,Chennai,RR vs RR,2794.58,6
18,Delhi,SRH vs MI,785.36,3
19,Kolkata,PBKS vs CSK,4006.9,7
20,Chennai,DC vs CSK,1055.02,6
21,Pune,SRH vs RR,849.83,5
22,Delhi,KKR vs CSK,2001.93,3
23,Hyderabad,MI vs KKR,1549.65,2
24,Surat,SRH vs CSK,4844.03,2
25,Chennai,KKR vs CSK,1788.94,7
26,Ahmedabad,DC vs SRH,4128.45,6
27,Ahmedabad,PBKS vs RR,4771.27,7
28,Mumbai,RCB vs RR,2345.29,4
29,Mumbai,RR vs KKR,698.07,6
30,Hyderabad,SRH vs CSK,3977.68,2
31,Mumbai,RCB vs KKR,1195.53,7
32,Kolkata,RCB vs PBKS,2727.49,7
33,Chennai,DC vs SRH,4376.79,5
34,Delhi,KKR vs RR,700.62,4
35,Surat,MI vs KKR,471.42,2
36,Ahmedabad,MI vs RR,2541.18,3
37,Bangalore,DC vs SRH,4420.49,3
38,Kolkata,CSK vs KKR,356.03,7
39,Delhi,RR vs KKR,2642.94,2
40,Chennai,PBKS vs DC,1582.44,5
41,Delhi,PBKS vs RCB,1479.44,5
42,Delhi,SRH vs RCB,1716.07,7
43,Pune,KKR vs SRH,4879.83,2
44,Delhi,DC vs DC,2696.55,2
45,Surat,RR vs KKR,1415.53,6
46,Pune,RCB vs PBKS,4545.5,1
47,Surat,CSK vs MI,4315.92,7
48,Ahmedabad,CSK vs RCB,2660.75,7
49,Chennai,RCB vs DC,4585.2,5
50,Kolkata,CSK vs DC,4381.66,5
51,Delhi,DC vs PBKS,3679.32,2
52,Pune,SRH vs MI,1600.49,4
53,Mumbai,CSK vs SRH,4348.37,3
54,Ahmedabad,RR vs CSK,4043.41,5
55,Delhi,SRH vs DC,3395.3,5
56,Hyderabad,RCB vs PBKS,724.34,4
57,Ahmedabad,MI vs SRH,4360.55,2
58,Delhi,RCB vs CSK,4134.1,7
59,Hyderabad,SRH vs KKR,2436.04,1
60,Pune,RCB vs RR,1947.57,5
61,Surat,RCB vs MI,4667.99,7
62,Mumbai,RR vs PBKS,1418.66,1
63,Pune,MI vs CSK,3879.85,3
64,Mumbai,RR vs SRH,3748.63,5
65,Mumbai,KKR vs MI,4099.07,6
66,Pune,KKR vs CSK,2565.84,7
67,Pune,CSK vs PBKS,2657.62,7
68,Surat,CSK vs RCB,3993.57,2
69,Chennai,RCB vs PBKS,3746.94,5
