area_sqft,price_lakhs
1073.85,187.83
851.61,162.86
1126.69,221.18
1433.06,228.37
818.05,149.77
818.05,137.23
1452.72,240.58
1168.6,194.31
735.68,144.88
1089.9,159.38
737.8,111.92
736.99,122.98
984.69,191.3
250.0,31.18
296.28,33.52
703.2,116.47
545.51,133.54
1009.99,229.97
582.19,109.74
405.69,20.0
1412.98,276.02
820.98,120.99
923.63,176.84
401.34,36.97
709.47,99.33
938.82,167.38
497.15,99.4
1031.49,123.53
689.78,100.51
797.91,165.32
689.4,103.99
1548.3,251.11
895.28,150.8
529.8,135.59
1187.89,235.1
472.7,93.87
973.1,171.31
250.0,62.55
435.13,97.06
968.9,158.53
1158.46,188.58
959.98,166.72
859.52,178.2
794.61,164.95
382.52,59.89
648.05,98.32
738.78,153.81
1269.99,221.11
1020.27,209.58
282.94,51.79
1013.43,196.52
765.22,121.79
663.08,156.5
1114.09,172.87
1260.85,243.84
1225.95,197.46
606.27,143.09
791.78,111.15
1015.94,228.6
1241.44,268.14
732.29,153.98
835.02,170.07
512.78,109.94
481.33,71.53
1184.38,201.38
1374.68,259.37
874.8,191.27
1251.24,243.47
1026.57,142.47
674.21,140.17
1026.49,172.18
1438.31,276.79
887.46,145.04
1447.63,283.88
250.0,62.93
1187.67,211.76
930.47,140.34
795.35,174.51
932.12,173.04
250.0,42.14
823.11,153.06
1024.99,154.17
1417.26,272.16
718.61,122.15
617.03,111.69
724.39,136.11
1220.39,176.97
1015.06,132.62
714.58,86.8
1079.64,175.04
933.98,162.1
1239.03,181.53
654.28,83.66
785.32,143.9
762.76,107.9
387.77,52.92
1003.64,209.54
991.37,186.52
901.79,121.79
817.89,149.87
404.62,83.11
752.77,158.43
780.05,155.71
619.2,123.98
843.55,153.13
1041.42,199.05
1560.17,303.76
961.1,169.57
990.14,159.7
873.94,153.73
250.0,34.61
890.72,157.15
921.08,116.39
1762.13,343.34
832.67,155.45
1005.54,209.0
887.85,135.09
490.96,100.71
1299.99,228.94
1163.18,212.3
1176.86,227.09
581.71,125.26
1390.98,237.6
409.35,60.95
1105.4,207.12
1666.66,222.29
553.31,119.22
701.8,134.14
934.88,173.13
723.78,134.9
357.27,21.72
924.0,160.38
528.19,101.2
1065.76,197.0
578.2,157.43
1442.48,247.62
625.86,123.38
787.28,105.04
1184.73,187.0
469.2,120.45
979.61,166.83
1357.5,246.88
337.38,67.63
964.62,209.66
990.96,176.83
1173.64,195.47
467.07,65.81
437.84,83.25
1082.68,214.86
1003.94,164.62
987.67,158.79
1021.26,202.37
661.99,145.06
981.29,214.52
1002.58,183.76
649.98,127.82
1553.02,289.63
1065.84,138.49
483.04,116.58
1129.79,224.05
558.86,109.47
1175.48,218.7
1305.51,238.4
612.76,163.36
1237.18,177.46
1044.47,176.55
1187.72,214.7
1563.88,311.38
814.11,155.72
636.19,97.58
588.67,84.81
614.47,115.41
873.01,148.29
1019.4,235.75
996.84,185.22
1189.51,196.59
904.55,209.57
1408.74,229.78
807.37,147.44
1852.06,317.55
1118.98,183.72
599.99,116.31
525.19,118.19
1068.87,209.03
821.79,127.67
1149.9,237.65
1065.63,203.75
874.51,97.23
603.62,127.96
369.8,95.56
743.72,137.44
1199.74,230.32
974.93,222.87
463.99,20.0
960.61,187.68
1034.86,163.44
590.65,134.98
953.8,164.03
920.37,175.28
499.96,49.81
1025.23,204.73
1096.27,166.93
1279.07,222.0
1268.83,259.1
417.82,92.61
571.76,95.77
1080.26,157.91
1079.83,190.01
1080.27,181.49
2248.46,391.48
1099.81,179.21
1297.45,223.79
1233.9,215.97
1127.99,251.24
789.66,114.29
1165.64,238.44
629.51,144.09
817.11,90.1
730.12,110.95
928.66,164.42
1710.13,311.41
250.0,20.0
1140.19,199.99
335.55,70.94
734.82,94.88
1281.13,229.1
922.5,143.14
522.79,88.87
649.64,96.57
1137.86,195.03
644.37,106.09
975.76,217.45
915.95,217.4
671.94,172.9
1650.38,239.17
1121.87,217.67
250.0,37.96
965.26,147.14
668.37,156.69
1198.35,212.25
622.62,135.15
859.84,180.17
1076.75,210.66
1203.01,208.2
479.9,78.28
782.92,143.29
733.77,168.45
671.33,146.77
1517.91,267.09
1041.74,185.36
458.69,127.18
1221.25,189.02
1642.75,248.83
1261.36,205.42
368.22,119.18
730.52,101.61
1343.42,218.67
652.32,125.1
1055.34,194.5
1171.12,239.79
575.57,135.12
879.17,147.68
250.0,54.65
541.46,102.84
811.6,126.32
463.28,96.95
1471.34,268.11
399.45,80.21
745.98,118.69
945.76,201.49
1404.45,226.51
397.45,50.91
1307.11,285.91
903.58,152.18
556.47,102.05
1061.74,186.64
969.67,145.64
689.92,90.85
924.43,154.4
765.14,128.81
939.73,148.09
1131.75,214.52
1455.11,285.02
466.76,91.74
1646.56,286.09
250.0,70.47
846.88,167.56
1105.91,237.49
998.35,163.8
682.06,102.22
827.16,168.94
727.45,130.5
693.72,130.49
1197.36,273.36
1024.96,160.1
657.48,128.57
1214.86,223.15
1007.55,211.99
1184.5,161.22
1120.37,190.81
609.85,124.43
703.94,127.8
1161.55,212.48
1113.63,183.37
892.68,175.6
941.06,199.21
1347.18,284.4
692.95,127.71
1091.48,195.75
829.23,156.05
823.81,128.02
1284.57,223.84
1188.9,192.19
1184.73,223.4
1356.92,226.95
